unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1.58319E+12,03-03-2020 00:00,NEO/USDT,12.088,12.092,11.349,11.556,559593.484,6529710.078,15576
1.58311E+12,02-03-2020 00:00,NEO/USDT,11.308,12.211,11.183,12.088,621793.688,7300689.662,17155
1.58302E+12,01-03-2020 00:00,NEO/USDT,11.087,11.868,11.052,11.31,779451.219,8931657.05,20059
1.58293E+12,29-02-2020 00:00,NEO/USDT,11.305,11.531,10.911,11.103,491078.455,5511880.378,14140
1.58285E+12,28-02-2020 00:00,NEO/USDT,11.504,11.663,10.631,11.311,767804.607,8518123.599,19715
1.58276E+12,27-02-2020 00:00,NEO/USDT,10.983,11.706,10.4,11.51,844120.08,9406103.615,24358
1.58268E+12,26-02-2020 00:00,NEO/USDT,12.378,12.533,10.76,11.007,1528773.39,17428564.66,43107
1.58259E+12,25-02-2020 00:00,NEO/USDT,13.369,13.503,12.306,12.393,695342.225,8993197.048,22173
1.5825E+12,24-02-2020 00:00,NEO/USDT,14.292,14.442,12.988,13.361,732592.708,9963748.223,22535
1.58242E+12,23-02-2020 00:00,NEO/USDT,13.714,14.473,13.705,14.294,471023.838,6680446.187,14847
1.58233E+12,22-02-2020 00:00,NEO/USDT,14.017,14.079,13.5,13.72,388715.701,5340626.853,13506
1.58224E+12,21-02-2020 00:00,NEO/USDT,14.035,14.33,13.705,14.017,540433.804,7604312.588,19289
1.58216E+12,20-02-2020 00:00,NEO/USDT,14.037,14.398,13.4,14.03,782044.004,10911091.56,34512
1.58207E+12,19-02-2020 00:00,NEO/USDT,15.508,15.536,13.7,14.043,790599.366,11770247.93,30000
1.58198E+12,18-02-2020 00:00,NEO/USDT,15.038,15.657,14.255,15.5,1151642.881,17424760.88,42428
1.5819E+12,17-02-2020 00:00,NEO/USDT,14.618,15.173,13.375,15.027,1441268.611,20643743.78,42437
1.58181E+12,16-02-2020 00:00,NEO/USDT,15.113,15.872,13.413,14.625,1524731.281,22575127.82,39689
1.58172E+12,15-02-2020 00:00,NEO/USDT,16.691,16.74,14.548,15.127,1191209.783,18666327.62,39838
1.58164E+12,14-02-2020 00:00,NEO/USDT,15.142,16.75,14.829,16.676,875126.848,13929652.04,36140
1.58155E+12,13-02-2020 00:00,NEO/USDT,14.813,15.845,14.476,15.141,1131448.783,17270839.9,46249
1.58147E+12,12-02-2020 00:00,NEO/USDT,13.822,15.322,13.811,14.822,1103343.551,16207290.37,39282
1.58138E+12,11-02-2020 00:00,NEO/USDT,13.558,13.989,12.95,13.791,871095.861,11759817.5,30800
1.58129E+12,10-02-2020 00:00,NEO/USDT,14.208,14.285,13.2,13.551,863876.566,11746551.09,32037
1.58121E+12,09-02-2020 00:00,NEO/USDT,12.667,14.209,12.666,14.201,1007857.174,13592358.73,39386
1.58112E+12,08-02-2020 00:00,NEO/USDT,12.793,13.05,12.114,12.688,523713.739,6671484.318,20807
1.58103E+12,07-02-2020 00:00,NEO/USDT,12.916,13.29,12.687,12.792,654253.844,8482913.021,23535
1.58095E+12,06-02-2020 00:00,NEO/USDT,12.757,13.206,12.412,12.914,651321.395,8409778.746,18758
1.58086E+12,05-02-2020 00:00,NEO/USDT,12.177,12.912,12.079,12.762,739128.235,9319815.605,19230
1.58077E+12,04-02-2020 00:00,NEO/USDT,11.88,12.323,11.515,12.177,465527.938,5564066.542,12741
1.58069E+12,03-02-2020 00:00,NEO/USDT,12.016,12.348,11.703,11.88,444079.077,5331024.702,11163
1.5806E+12,02-02-2020 00:00,NEO/USDT,11.423,12.578,11.22,12.016,817053.496,9913552.323,20044
1.58052E+12,01-02-2020 00:00,NEO/USDT,11.465,11.637,11.156,11.422,226389.344,2580228.915,7116
1.58043E+12,31-01-2020 00:00,NEO/USDT,11.723,11.739,11.09,11.453,316918.977,3633072.142,8647
1.58034E+12,30-01-2020 00:00,NEO/USDT,11.197,11.812,10.873,11.735,402914.104,4600548.005,10868
1.58026E+12,29-01-2020 00:00,NEO/USDT,11.359,11.697,11.114,11.201,370792.443,4230942.914,26706
1.58017E+12,28-01-2020 00:00,NEO/USDT,11.103,11.419,11.028,11.36,272951.565,3056968.68,9150
1.58008E+12,27-01-2020 00:00,NEO/USDT,10.797,11.297,10.687,11.082,297004.247,3267604.191,7533
1.58E+12,26-01-2020 00:00,NEO/USDT,10.338,10.806,10.263,10.797,151116.812,1604277.895,4168
1.57991E+12,25-01-2020 00:00,NEO/USDT,10.51,10.512,10.19,10.35,89165.886,920999.809,3037
1.57982E+12,24-01-2020 00:00,NEO/USDT,10.607,10.692,10.136,10.511,227104.984,2373583.53,5920
1.57974E+12,23-01-2020 00:00,NEO/USDT,11.261,11.275,10.388,10.621,274533.904,2927066.189,8078
1.57965E+12,22-01-2020 00:00,NEO/USDT,11.23,11.385,11.135,11.247,145795.183,1641806.669,4553
1.57956E+12,21-01-2020 00:00,NEO/USDT,11.118,11.313,10.83,11.226,167960.875,1867953.056,4966
1.57948E+12,20-01-2020 00:00,NEO/USDT,11.243,11.317,10.81,11.114,202813.268,2255650.212,6123
1.57939E+12,19-01-2020 00:00,NEO/USDT,11.879,12.219,10.768,11.245,487727.558,5537402.638,13275
1.57931E+12,18-01-2020 00:00,NEO/USDT,11.835,12.339,11.289,11.876,523426.442,6225130.097,14253
1.57922E+12,17-01-2020 00:00,NEO/USDT,11.288,11.955,11.125,11.848,491456.574,5675326.085,14084
1.57913E+12,16-01-2020 00:00,NEO/USDT,11.415,11.598,10.725,11.271,472913.2,5231684.495,11933
1.57905E+12,15-01-2020 00:00,NEO/USDT,11.203,12,10.714,11.412,708069.877,8096908.467,20902
1.57896E+12,14-01-2020 00:00,NEO/USDT,10.008,11.69,10.008,11.204,890609.337,9558728.218,22679
1.57887E+12,13-01-2020 00:00,NEO/USDT,10.266,10.301,9.805,10,196036.19,1947903.525,5754
