unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.5673E+12,01-09-2019 00:00,XLM/USDT,0.06196,0.06271,0.06076,0.06212,8220163.2,508254.7795,3867
1.56721E+12,31-08-2019 00:00,XLM/USDT,0.06194,0.06259,0.06011,0.06194,8646460.9,533676.7786,4616
1.56712E+12,30-08-2019 00:00,XLM/USDT,0.06168,0.06326,0.0611,0.06191,10766084.4,670655.8253,5532
1.56704E+12,29-08-2019 00:00,XLM/USDT,0.06397,0.06397,0.06036,0.06162,18643179.9,1154797.974,8779
1.56695E+12,28-08-2019 00:00,XLM/USDT,0.06842,0.06851,0.06329,0.06398,18126598.5,1199168.204,7855
1.56686E+12,27-08-2019 00:00,XLM/USDT,0.0696,0.06973,0.06735,0.0685,9880597.2,673458.0201,4280
1.56678E+12,26-08-2019 00:00,XLM/USDT,0.06923,0.07108,0.06881,0.0696,10022954.7,700033.7473,5026
1.56669E+12,25-08-2019 00:00,XLM/USDT,0.07035,0.07184,0.06822,0.0694,15467209.2,1084751.428,7258
1.5666E+12,24-08-2019 00:00,XLM/USDT,0.06912,0.071,0.06756,0.07035,13633107.5,942776.7797,7048
1.56652E+12,23-08-2019 00:00,XLM/USDT,0.06812,0.06929,0.0674,0.0692,13785486,944633.9285,6999
1.56643E+12,22-08-2019 00:00,XLM/USDT,0.06691,0.06958,0.0654,0.06818,14788650.2,1001595.586,7593
1.56635E+12,21-08-2019 00:00,XLM/USDT,0.0688,0.0688,0.06577,0.06691,9946002,666906.4707,5527
1.56626E+12,20-08-2019 00:00,XLM/USDT,0.07185,0.07195,0.06825,0.06877,9433108.2,657125.6283,4596
1.56617E+12,19-08-2019 00:00,XLM/USDT,0.07061,0.0722,0.07016,0.0717,9866508.2,701850.5827,4939
1.56609E+12,18-08-2019 00:00,XLM/USDT,0.06766,0.07158,0.06743,0.07072,10852434.2,757571.8738,5434
1.566E+12,17-08-2019 00:00,XLM/USDT,0.06839,0.06913,0.06662,0.0677,8257429.9,561988.4835,4478
1.56591E+12,16-08-2019 00:00,XLM/USDT,0.0701,0.07022,0.06726,0.06844,13540494.1,929148.9416,6637
1.56583E+12,15-08-2019 00:00,XLM/USDT,0.06931,0.0708,0.06738,0.07019,11999711.9,830407.0275,5571
1.56574E+12,14-08-2019 00:00,XLM/USDT,0.07442,0.07445,0.06738,0.0692,29036797.1,2059520.946,10904
1.56565E+12,13-08-2019 00:00,XLM/USDT,0.07539,0.07558,0.07278,0.07442,11747450.1,875588.9007,6599
1.56557E+12,12-08-2019 00:00,XLM/USDT,0.0782,0.07839,0.07538,0.07547,10714083.2,819877.1998,5586
1.56548E+12,11-08-2019 00:00,XLM/USDT,0.07374,0.07995,0.07359,0.0782,28985242.6,2226989.935,13794
1.5654E+12,10-08-2019 00:00,XLM/USDT,0.07189,0.07433,0.07169,0.07375,21121216.4,1544059.867,10429
1.56531E+12,09-08-2019 00:00,XLM/USDT,0.07699,0.07712,0.07161,0.07182,28570459.8,2111758.861,12121
1.56522E+12,08-08-2019 00:00,XLM/USDT,0.07867,0.07874,0.07629,0.07691,19184468.4,1478904.961,7853
1.56514E+12,07-08-2019 00:00,XLM/USDT,0.07843,0.07926,0.07675,0.07859,18743034.3,1465192.29,8866
1.56505E+12,06-08-2019 00:00,XLM/USDT,0.08244,0.08244,0.0771,0.07837,27635495.5,2206140.011,13327
1.56496E+12,05-08-2019 00:00,XLM/USDT,0.0819,0.08436,0.08123,0.08241,25812179.5,2133156.486,11761
1.56488E+12,04-08-2019 00:00,XLM/USDT,0.08235,0.08262,0.0806,0.08183,11758879.3,960470.3855,6611
1.56479E+12,03-08-2019 00:00,XLM/USDT,0.08196,0.083,0.08164,0.08236,13034339.9,1071754.56,6469
1.5647E+12,02-08-2019 00:00,XLM/USDT,0.08272,0.0832,0.08157,0.08196,14558871.6,1201348.484,7290
1.56462E+12,01-08-2019 00:00,XLM/USDT,0.08383,0.08404,0.08159,0.08273,12997450.3,1075360.287,7428
1.56453E+12,31-07-2019 00:00,XLM/USDT,0.0833,0.0852,0.0829,0.08383,18367965.4,1540266.93,8470
1.56444E+12,30-07-2019 00:00,XLM/USDT,0.08327,0.08484,0.08192,0.08341,12187508.3,1015598.498,6601
1.56436E+12,29-07-2019 00:00,XLM/USDT,0.084,0.08568,0.0825,0.08336,13953681.5,1170459.958,7406
1.56427E+12,28-07-2019 00:00,XLM/USDT,0.08434,0.08491,0.08076,0.084,10583490.8,885220.6163,5919
