unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.56946E+12,26-09-2019 00:00,XRP/USDT,0.24567,0.25,0.22775,0.2422,125772838.7,30233595.4,74329
1.56937E+12,25-09-2019 00:00,XRP/USDT,0.23282,0.24953,0.23132,0.2457,169757552.3,40828894.01,112511
1.56928E+12,24-09-2019 00:00,XRP/USDT,0.26787,0.27317,0.21333,0.23282,302577184.1,74890289.35,161683
1.5692E+12,23-09-2019 00:00,XRP/USDT,0.27656,0.28666,0.26601,0.26786,154408602.2,42540797.19,83469
1.56911E+12,22-09-2019 00:00,XRP/USDT,0.28964,0.28982,0.2686,0.27653,117475940.3,32630853.07,69721
1.56902E+12,21-09-2019 00:00,XRP/USDT,0.2936,0.298,0.28625,0.28961,113934352.2,33163246.27,66568
1.56894E+12,20-09-2019 00:00,XRP/USDT,0.30064,0.30159,0.2835,0.2936,159272561.6,46476133.73,87076
1.56885E+12,19-09-2019 00:00,XRP/USDT,0.31344,0.31345,0.28208,0.30062,277316439.7,82282462,148933
1.56876E+12,18-09-2019 00:00,XRP/USDT,0.28553,0.32631,0.28493,0.31344,300972127.9,93346877.96,170133
1.56868E+12,17-09-2019 00:00,XRP/USDT,0.26103,0.2985,0.25944,0.28561,217381018.1,61450339.08,128949
1.56859E+12,16-09-2019 00:00,XRP/USDT,0.26015,0.263,0.25664,0.26098,44531031.7,11582013.03,39347
1.56851E+12,15-09-2019 00:00,XRP/USDT,0.26125,0.26419,0.25386,0.26022,51661196.3,13494004.95,41500
1.56842E+12,14-09-2019 00:00,XRP/USDT,0.25536,0.26551,0.25389,0.26124,70537163.6,18393277.18,50706
1.56833E+12,13-09-2019 00:00,XRP/USDT,0.25404,0.256,0.25132,0.2552,47599708.2,12086872.25,42137
1.56825E+12,12-09-2019 00:00,XRP/USDT,0.25515,0.25686,0.25087,0.25406,58547444.6,14843159.9,44658
1.56816E+12,11-09-2019 00:00,XRP/USDT,0.25855,0.26092,0.251,0.25519,56043242.1,14279228.06,45009
1.56807E+12,10-09-2019 00:00,XRP/USDT,0.25869,0.26371,0.2535,0.25859,61643971.4,15995536.3,46972
1.56799E+12,09-09-2019 00:00,XRP/USDT,0.26205,0.26423,0.25634,0.25855,58537945.7,15205988.48,52826
1.5679E+12,08-09-2019 00:00,XRP/USDT,0.25989,0.26591,0.2555,0.26205,65033003.6,17002657.73,58789
